host_id,host_response_rate,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
904833,0,1.0,1.0,4.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,0,0,0,2.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
909234,0,1.0,2.0,2.0,30.0,730.0,30.0,30.0,730.0,730.0,0,0,0,0,63.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
67778,100,2.0,3.0,2.0,3.0,28.0,2.0,3.0,28.0,28.0,1,1,1,1,60.0,12.0,0.0,1,12.0,154,2.0,0.0,2.0,0.0
179020,100,1.0,2.0,2.0,2.0,30.0,2.0,2.0,30.0,30.0,18,48,78,78,184.0,25.0,1.0,78,41.0,255,1.0,0.0,1.0,0.0
912541,0,1.0,6.0,2.0,30.0,60.0,30.0,30.0,60.0,60.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
915640,0,1.0,1.0,2.0,30.0,518.0,30.0,30.0,518.0,518.0,0,0,0,0,102.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
922922,0,1.0,1.0,2.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,0,0,0,35.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
874471,0,1.0,1.0,2.0,30.0,31.0,30.0,30.0,31.0,31.0,11,41,71,346,20.3,0.0,0.0,179,0.0,0,1.0,1.0,0.0,0.0
927028,78,1.0,3.0,2.0,2.0,90.0,2.0,2.0,1125.0,1125.0,8,31,40,239,158.0,20.0,0.0,72,26.0,255,1.0,0.0,1.0,0.0
65837,100,1.0,1.0,8.0,30.0,365.0,30.0,30.0,365.0,365.0,0,0,0,164,20.3,0.0,0.0,92,0.0,0,1.0,1.0,0.0,0.0
66035,100,1.0,2.0,2.0,30.0,90.0,30.0,30.0,90.0,90.0,20,50,80,98,54.0,0.0,0.0,98,1.0,0,1.0,1.0,0.0,0.0
69942,0,1.0,3.0,2.0,30.0,30.0,30.0,30.0,30.0,30.0,7,13,43,318,147.0,0.0,0.0,151,0.0,0,1.0,0.0,1.0,0.0
71876,0,1.0,2.0,3.0,30.0,60.0,30.0,30.0,1125.0,1125.0,0,0,20,277,20.3,3.0,0.0,110,4.0,180,1.0,0.0,1.0,0.0
